/Users/apple/code/open-source/my-projects/web3-practice/.venv/bin/python /Users/apple/code/open-source/my-projects/web3-practice/main.py

block_number=12965534, burn=1.12028459204321982
block_number=12965535, burn=0.906663380991385899
block_number=12965536, burn=0.6008283145600884
block_number=12965537, burn=1.436080703395347236
block_number=12965538, burn=0.617264447499948612
block_number=12965539, burn=0.973007731693583712
block_number=12965540, burn=0.79225896008316375
block_number=12965541, burn=0.67959116157592807
block_number=12965542, burn=0.512510748637143881
block_number=12965543, burn=1.654381359083593764
block_number=12965544, burn=0.966578292328173462
block_number=12965545, burn=0.751344999945657036
block_number=12965546, burn=0.53785629508310316
block_number=12965547, burn=1.360080648956798028
block_number=12965548, burn=0.096853807653952016
block_number=12965549, burn=1.647578019577486266
block_number=12965550, burn=0
block_number=12965551, burn=1.624533777037616917
block_number=12965552, burn=0.790133496331163961
block_number=12965553, burn=0.203914747123428184
block_number=12965554, burn=1.585708203256188099
block_number=12965555, burn=0.257860692115279308
block_number=12965556, burn=1.659943793147558985
block_number=12965557, burn=0.620801672288548757
block_number=12965558, burn=1.78624819706615325
block_number=12965559, burn=0.386703117112443738
block_number=12965560, burn=0.466089048342457083
block_number=12965561, burn=1.737809261184780276
block_number=12965562, burn=0.265763156067250053
block_number=12965563, burn=1.031167995718943136
block_number=12965564, burn=0.40549437351866817
block_number=12965565, burn=1.69562846321071632
block_number=12965566, burn=0.94241403635230615
block_number=12965567, burn=0.044906713801144104
block_number=12965568, burn=1.676261467457639512
block_number=12965569, burn=0.468511000132839006
block_number=12965570, burn=0.154028504677938021
block_number=12965571, burn=1.580352639102241739
block_number=12965572, burn=0.315845243917737624
block_number=12965573, burn=1.630792299365429216
block_number=12965574, burn=0.2903959638096764
block_number=12965575, burn=1.677748769545593852
block_number=12965576, burn=1.885960904474484936
block_number=12965577, burn=0.448051147574575878
block_number=12965578, burn=0.971059788863897316
block_number=12965579, burn=1.706779675114787546
block_number=12965580, burn=0.088512563313825222
block_number=12965581, burn=0.224393479771197201
block_number=12965582, burn=1.716947852981936652
block_number=12965583, burn=0.398090737286645473
block_number=12965584, burn=0.224352820073486526
block_number=12965585, burn=1.61983656419205714
block_number=12965586, burn=1.590522078653580904
block_number=12965587, burn=1.234267867977875375
block_number=12965588, burn=2.049936775674426214
block_number=12965589, burn=0.047535722365808339
block_number=12965590, burn=0.323777207112668736
block_number=12965591, burn=0.028483321484279003
block_number=12965592, burn=1.62923865788359065
block_number=12965593, burn=1.11978276698219628
block_number=12965594, burn=0.41310869908708946
block_number=12965595, burn=1.749371056700270131
block_number=12965596, burn=0.756900355883793056
block_number=12965597, burn=1.178500546816385334
block_number=12965598, burn=0.264556354318000984
block_number=12965599, burn=1.267869746080785812
block_number=12965600, burn=1.080052487354874011
block_number=12965601, burn=0.06942209772106869
block_number=12965602, burn=1.694599129056730031
block_number=12965603, burn=0.0722740590717737
block_number=12965604, burn=1.387618848169078481
block_number=12965605, burn=1.580287990720688949
block_number=12965606, burn=0.63249698377015605
block_number=12965607, burn=0.169552010992936383
block_number=12965608, burn=1.704884914787352957
block_number=12965609, burn=0.461613052467902412
block_number=12965610, burn=0.98725587020945892
block_number=12965611, burn=0.30277976905737072
block_number=12965612, burn=1.661508797114206636
block_number=12965613, burn=0.024686139644714383
block_number=12965614, burn=1.641858161954962424
block_number=12965615, burn=0.517398506717329472
block_number=12965616, burn=0.81798575590696821
block_number=12965617, burn=0.104479011785453785
block_number=12965618, burn=1.53779910398836717
block_number=12965619, burn=0.192333026834914292
block_number=12965620, burn=1.562392401373473978
block_number=12965621, burn=0.637064369166991922
block_number=12965622, burn=0.318182627075909589
block_number=12965623, burn=1.561989276656863224
block_number=12965624, burn=0.055524658871245914
block_number=12965625, burn=0.67883089409236734
block_number=12965626, burn=1.5286042871954154
block_number=12965627, burn=0.196045234863267024
block_number=12965628, burn=1.556584040814117856
block_number=12965629, burn=0.669196331434875318
block_number=12965630, burn=0.828073555949909751
block_number=12965631, burn=1.692816948078014654
block_number=12965632, burn=0.754015329277670427
block_number=12965633, burn=0.852673386923146371
block_number=12965634, burn=0.807820983889969944
block_number=12965635, burn=0.58384468375558598
block_number=12965636, burn=1.725182645910530575
block_number=12965637, burn=0.009263931430953867
block_number=12965638, burn=1.535075693323050043
block_number=12965639, burn=0.673111724419865458
block_number=12965640, burn=1.0271736803664589
block_number=12965641, burn=1.205245251136383504
block_number=12965642, burn=0.88362864233193373
block_number=12965643, burn=0.05402357709128172
block_number=12965644, burn=1.66919933383686768
block_number=12965645, burn=1.343904805888867728
block_number=12965646, burn=0.763529999810967888
block_number=12965647, burn=0.367183216447771724
block_number=12965648, burn=0.45755540461857357
block_number=12965649, burn=1.664991330210548064
block_number=12965650, burn=0.642772529029736292
block_number=12965651, burn=0.252065161469355976
block_number=12965652, burn=0.965802108343183622
block_number=12965653, burn=0.978660044430816436
block_number=12965654, burn=0.181040774120018823
block_number=12965655, burn=1.37790154713416576
block_number=12965656, burn=0.090935092785310554
block_number=12965657, burn=0.966623756618707968
block_number=12965658, burn=0.337360168227216096
block_number=12965659, burn=1.448198906245142725
block_number=12965660, burn=0.51095240631817777
block_number=12965661, burn=1.235791026084591574
block_number=12965662, burn=0.68872299152131905
block_number=12965663, burn=0.854578859329750911
block_number=12965664, burn=0.059690139072047424
block_number=12965665, burn=1.45294361518524686
block_number=12965666, burn=0.67271564730176807
block_number=12965667, burn=0.829874273823442944
block_number=12965668, burn=0.228677857551968496
block_number=12965669, burn=1.042145685091285049
block_number=12965670, burn=0.69131003259338685
block_number=12965671, burn=0.242822811761568704
block_number=12965672, burn=1.065118732110774324
block_number=12965673, burn=0.033632705330541625
block_number=12965674, burn=1.304804643900268354
block_number=12965675, burn=1.328090489243784086
block_number=12965676, burn=0.464638588250605643
block_number=12965677, burn=0.193436639439248124
block_number=12965678, burn=1.382551833297303738
block_number=12965679, burn=0.023312408328634656
block_number=12965680, burn=1.36415938741297824
block_number=12965681, burn=1.535687717283094885
block_number=12965682, burn=0.077473939225941037
block_number=12965683, burn=1.533358517416512228
block_number=12965684, burn=0.33741470384603064
block_number=12965685, burn=1.592182015781966936
